Category,Budgeted,Executed,Percentage,year
Total,"$315,000,000","$307,500,000",97.6%,2019
Interest Payment,"$15,000,000","$14,500,000",96.7%,2019
Capital Expenses,"$120,000,000","$118,000,000",98.3%,2019
Current Expenses,"$180,000,000","$175,000,000",97.2%,2019
Current Expenses,"$180,000,000","$175,000,000",97.2%,2020
Capital Expenses,"$120,000,000","$118,000,000",98.3%,2020
Interest Payment,"$15,000,000","$14,500,000",96.7%,2020
Total,"$315,000,000","$307,500,000",97.6%,2020
Total,"$315,000,000","$307,500,000",97.6%,2021
Capital Expenses,"$120,000,000","$118,000,000",98.3%,2021
Current Expenses,"$180,000,000","$175,000,000",97.2%,2021
Interest Payment,"$15,000,000","$14,500,000",96.7%,2021
Total,"$315,000,000","$307,500,000",97.6%,2022
Interest Payment,"$15,000,000","$14,500,000",96.7%,2022
Capital Expenses,"$120,000,000","$118,000,000",98.3%,2022
Current Expenses,"$180,000,000","$175,000,000",97.2%,2022
Total,"$315,000,000","$307,500,000",97.6%,2023
Interest Payment,"$15,000,000","$14,500,000",96.7%,2023
Capital Expenses,"$120,000,000","$118,000,000",98.3%,2023
Current Expenses,"$180,000,000","$175,000,000",97.2%,2023
Current Expenses,"$180,000,000","$175,000,000",97.2%,2024
Capital Expenses,"$120,000,000","$118,000,000",98.3%,2024
Interest Payment,"$15,000,000","$14,500,000",96.7%,2024
Total,"$315,000,000","$307,500,000",97.6%,2024
Total,"$315,000,000","$307,500,000",97.6%,2025
Interest Payment,"$15,000,000","$14,500,000",96.7%,2025
Capital Expenses,"$120,000,000","$118,000,000",98.3%,2025
Current Expenses,"$180,000,000","$175,000,000",97.2%,2025
