year,type,amount,document_count
2021,personal,0,1
2021,general,0,4
2021,normativa,2524374.0,2
2021,balance,376346103.37,1
2022,general,1833005149.22,3
2023,gastos,29125334742.95,33
2023,recursos,19684918700.38,19
2023,tesoreria,11108433335.4,13
2023,personal,5269331.2,6
2023,general,1483753451.6,3
2024,gastos,68759755003.74,22
2024,recursos,44488189256.59,10
2024,tesoreria,1875547363.96,1
2024,presupuesto,9280507181.0,1
2024,personal,5436659.2,2
2024,general,22055473167.83,6
2025,gastos,100372574448.47,15
2025,recursos,83721224344.89,9
2025,general,41604401525.06,10
