Column_0,Column_1,Column_2,Column_3,year
GDP Growth,3.2%,2.8%,0.4%,2019
Municipal Revenue Growth,6.5%,5.8%,0.7%,2019
Unemployment Rate,7.1%,7.8%,-0.7%,2019
Inflation Rate,7.5%,8.2%,-0.7%,2019
Indicator,2019,2018,Variation,2019
Indicator,2020,2019,Variation,2020
Unemployment Rate,7.1%,7.8%,-0.7%,2020
GDP Growth,3.2%,2.8%,0.4%,2020
Inflation Rate,7.5%,8.2%,-0.7%,2020
Municipal Revenue Growth,6.5%,5.8%,0.7%,2020
Municipal Revenue Growth,6.5%,5.8%,0.7%,2021
Inflation Rate,7.5%,8.2%,-0.7%,2021
GDP Growth,3.2%,2.8%,0.4%,2021
Indicator,2021,2020,Variation,2021
Unemployment Rate,7.1%,7.8%,-0.7%,2021
Indicator,2022,2021,Variation,2022
GDP Growth,3.2%,2.8%,0.4%,2022
Unemployment Rate,7.1%,7.8%,-0.7%,2022
Municipal Revenue Growth,6.5%,5.8%,0.7%,2022
Inflation Rate,7.5%,8.2%,-0.7%,2022
Indicator,2023,2022,Variation,2023
GDP Growth,3.2%,2.8%,0.4%,2023
Inflation Rate,7.5%,8.2%,-0.7%,2023
Municipal Revenue Growth,6.5%,5.8%,0.7%,2023
Unemployment Rate,7.1%,7.8%,-0.7%,2023
Municipal Revenue Growth,6.5%,5.8%,0.7%,2024
Unemployment Rate,7.1%,7.8%,-0.7%,2024
Inflation Rate,7.5%,8.2%,-0.7%,2024
GDP Growth,3.2%,2.8%,0.4%,2024
Indicator,2024,2023,Variation,2024
Indicator,2025,2024,Variation,2025
GDP Growth,3.2%,2.8%,0.4%,2025
Inflation Rate,7.5%,8.2%,-0.7%,2025
Unemployment Rate,7.1%,7.8%,-0.7%,2025
Municipal Revenue Growth,6.5%,5.8%,0.7%,2025
