year,month,male,female,total,sector
2019,ENE,120,135,255,Administración
2019,FEB,118,138,256,Administración
2019,MAR,122,140,262,Administración
2019,ABR,125,142,267,Administración
2019,MAY,124,145,269,Administración
2019,JUN,127,147,274,Administración
2019,JUL,130,148,278,Administración
2019,AGO,132,150,282,Administración
2019,SEP,131,152,283,Administración
2019,OCT,133,155,288,Administración
2019,NOV,135,157,292,Administración
2019,DIC,138,155,293,Administración
2020,ENE,125,140,265,Administración
2020,FEB,123,142,265,Administración
2020,MAR,127,145,272,Administración
2020,ABR,130,147,277,Administración
2020,MAY,129,150,279,Administración
2020,JUN,132,152,284,Administración
2020,JUL,135,153,288,Administración
2020,AGO,137,155,292,Administración
2020,SEP,136,157,293,Administración
2020,OCT,138,160,298,Administración
2020,NOV,140,162,302,Administración
2020,DIC,143,159,302,Administración
2021,ENE,130,145,275,Administración
2021,FEB,128,147,275,Administración
2021,MAR,132,150,282,Administración
2021,ABR,135,152,287,Administración
2021,MAY,134,155,289,Administración
2021,JUN,137,157,294,Administración
2021,JUL,140,158,298,Administración
2021,AGO,142,160,302,Administración
2021,SEP,141,162,303,Administración
2021,OCT,143,165,308,Administración
2021,NOV,145,167,312,Administración
2021,DIC,148,164,312,Administración
2022,ENE,135,150,285,Administración
2022,FEB,133,152,285,Administración
2022,MAR,137,155,292,Administración
2022,ABR,140,157,297,Administración
2022,MAY,139,160,299,Administración
2022,JUN,142,162,304,Administración
2022,JUL,145,163,308,Administración
2022,AGO,147,165,312,Administración
2022,SEP,146,167,313,Administración
2022,OCT,148,170,318,Administración
2022,NOV,150,172,322,Administración
2022,DIC,153,169,322,Administración
2023,ENE,140,155,295,Administración
2023,FEB,138,157,295,Administración
2023,MAR,142,160,302,Administración
2023,ABR,145,162,307,Administración
2023,MAY,144,165,309,Administración
2023,JUN,147,167,314,Administración
2023,JUL,150,168,318,Administración
2023,AGO,152,170,322,Administración
2023,SEP,151,172,323,Administración
2023,OCT,153,175,328,Administración
2023,NOV,155,177,332,Administración
2023,DIC,158,174,332,Administración
2024,ENE,145,160,305,Administración
2024,FEB,143,162,305,Administración
2024,MAR,147,165,312,Administración
2024,ABR,150,167,317,Administración
2024,MAY,149,170,319,Administración
2024,JUN,152,172,324,Administración
2024,JUL,155,173,328,Administración
2024,AGO,157,175,332,Administración
2024,SEP,156,177,333,Administración
2024,OCT,158,180,338,Administración
2024,NOV,160,182,342,Administración
2024,DIC,163,179,342,Administración
2025,ENE,150,165,315,Administración
2025,FEB,148,167,315,Administración
2025,MAR,152,170,322,Administración
2025,ABR,155,172,327,Administración
2025,MAY,154,175,329,Administración
2025,JUN,157,177,334,Administración
2025,JUL,160,178,338,Administración
2025,AGO,162,180,342,Administración
2025,SEP,161,182,343,Administración
2025,OCT,163,185,348,Administración
2025,NOV,165,187,352,Administración
2025,DIC,168,184,352,Administración
