Column_0,Column_1,Column_2,Column_3,year
Health Budget %,8.5%,8.2%,0.3%,2019
Indicator,2019,2018,Variation,2019
Health Centers,12,11,9.1%,2019
Health Personnel,180,165,9.1%,2019
Patient Visits (000),240,225,6.7%,2019
Indicator,2020,2019,Variation,2020
Health Budget %,8.5%,8.2%,0.3%,2020
Patient Visits (000),240,225,6.7%,2020
Health Personnel,180,165,9.1%,2020
Health Centers,12,11,9.1%,2020
Health Centers,12,11,9.1%,2021
Health Budget %,8.5%,8.2%,0.3%,2021
Patient Visits (000),240,225,6.7%,2021
Health Personnel,180,165,9.1%,2021
Indicator,2021,2020,Variation,2021
Health Centers,12,11,9.1%,2022
Indicator,2022,2021,Variation,2022
Health Personnel,180,165,9.1%,2022
Health Budget %,8.5%,8.2%,0.3%,2022
Patient Visits (000),240,225,6.7%,2022
Health Budget %,8.5%,8.2%,0.3%,2023
Patient Visits (000),240,225,6.7%,2023
Health Personnel,180,165,9.1%,2023
Health Centers,12,11,9.1%,2023
Indicator,2023,2022,Variation,2023
Health Budget %,8.5%,8.2%,0.3%,2024
Health Centers,12,11,9.1%,2024
Indicator,2024,2023,Variation,2024
Patient Visits (000),240,225,6.7%,2024
Health Personnel,180,165,9.1%,2024
Health Budget %,8.5%,8.2%,0.3%,2025
Patient Visits (000),240,225,6.7%,2025
Health Personnel,180,165,9.1%,2025
Health Centers,12,11,9.1%,2025
Indicator,2025,2024,Variation,2025
