Project,Status,Budget,Executed,Completion,year
Road Expansion,In Progress,"$15,000,000","$12,000,000",80%,2019
School Renovation,Completed,"$8,000,000","$8,000,000",100%,2019
Water System,Planning,"$20,000,000",$0,0%,2019
Total,-,"$43,000,000","$20,000,000",46.5%,2019
Total,-,"$43,000,000","$20,000,000",46.5%,2020
Water System,Planning,"$20,000,000",$0,0%,2020
School Renovation,Completed,"$8,000,000","$8,000,000",100%,2020
Road Expansion,In Progress,"$15,000,000","$12,000,000",80%,2020
Road Expansion,In Progress,"$15,000,000","$12,000,000",80%,2021
School Renovation,Completed,"$8,000,000","$8,000,000",100%,2021
Water System,Planning,"$20,000,000",$0,0%,2021
Total,-,"$43,000,000","$20,000,000",46.5%,2021
Total,-,"$43,000,000","$20,000,000",46.5%,2022
Water System,Planning,"$20,000,000",$0,0%,2022
School Renovation,Completed,"$8,000,000","$8,000,000",100%,2022
Road Expansion,In Progress,"$15,000,000","$12,000,000",80%,2022
Road Expansion,In Progress,"$15,000,000","$12,000,000",80%,2023
School Renovation,Completed,"$8,000,000","$8,000,000",100%,2023
Water System,Planning,"$20,000,000",$0,0%,2023
Total,-,"$43,000,000","$20,000,000",46.5%,2023
Total,-,"$43,000,000","$20,000,000",46.5%,2024
Water System,Planning,"$20,000,000",$0,0%,2024
School Renovation,Completed,"$8,000,000","$8,000,000",100%,2024
Road Expansion,In Progress,"$15,000,000","$12,000,000",80%,2024
Road Expansion,In Progress,"$15,000,000","$12,000,000",80%,2025
School Renovation,Completed,"$8,000,000","$8,000,000",100%,2025
Water System,Planning,"$20,000,000",$0,0%,2025
Total,-,"$43,000,000","$20,000,000",46.5%,2025
