Project,Budgeted,Executed,Percentage,year
Educational Infrastructure,"$25,000,000","$24,000,000",96.0%,2019
Total,"$85,000,000","$82,000,000",96.5%,2019
Health Infrastructure,"$20,000,000","$19,500,000",97.5%,2019
Road Infrastructure,"$40,000,000","$38,500,000",96.3%,2019
Road Infrastructure,"$40,000,000","$38,500,000",96.3%,2020
Educational Infrastructure,"$25,000,000","$24,000,000",96.0%,2020
Health Infrastructure,"$20,000,000","$19,500,000",97.5%,2020
Total,"$85,000,000","$82,000,000",96.5%,2020
Educational Infrastructure,"$25,000,000","$24,000,000",96.0%,2021
Road Infrastructure,"$40,000,000","$38,500,000",96.3%,2021
Health Infrastructure,"$20,000,000","$19,500,000",97.5%,2021
Total,"$85,000,000","$82,000,000",96.5%,2021
Road Infrastructure,"$40,000,000","$38,500,000",96.3%,2022
Educational Infrastructure,"$25,000,000","$24,000,000",96.0%,2022
Health Infrastructure,"$20,000,000","$19,500,000",97.5%,2022
Total,"$85,000,000","$82,000,000",96.5%,2022
Total,"$85,000,000","$82,000,000",96.5%,2023
Health Infrastructure,"$20,000,000","$19,500,000",97.5%,2023
Educational Infrastructure,"$25,000,000","$24,000,000",96.0%,2023
Road Infrastructure,"$40,000,000","$38,500,000",96.3%,2023
Road Infrastructure,"$40,000,000","$38,500,000",96.3%,2024
Educational Infrastructure,"$25,000,000","$24,000,000",96.0%,2024
Health Infrastructure,"$20,000,000","$19,500,000",97.5%,2024
Total,"$85,000,000","$82,000,000",96.5%,2024
Health Infrastructure,"$20,000,000","$19,500,000",97.5%,2025
Educational Infrastructure,"$25,000,000","$24,000,000",96.0%,2025
Road Infrastructure,"$40,000,000","$38,500,000",96.3%,2025
Total,"$85,000,000","$82,000,000",96.5%,2025
