Concept,Budgeted,Executed,Percentage,year
Total,"$330,000,000","$321,000,000",97.3%,2019
Capital Revenue,"$30,000,000","$28,000,000",93%,2019
Non-tributary Revenue,"$50,000,000","$48,000,000",96%,2019
Tributary Revenue,"$250,000,000","$245,000,000",98%,2019
Tributary Revenue,"$250,000,000","$245,000,000",98%,2020
Non-tributary Revenue,"$50,000,000","$48,000,000",96%,2020
Capital Revenue,"$30,000,000","$28,000,000",93%,2020
Total,"$330,000,000","$321,000,000",97.3%,2020
Non-tributary Revenue,"$50,000,000","$48,000,000",96%,2021
Total,"$330,000,000","$321,000,000",97.3%,2021
Tributary Revenue,"$250,000,000","$245,000,000",98%,2021
Capital Revenue,"$30,000,000","$28,000,000",93%,2021
Non-tributary Revenue,"$50,000,000","$48,000,000",96%,2022
Tributary Revenue,"$250,000,000","$245,000,000",98%,2022
Total,"$330,000,000","$321,000,000",97.3%,2022
Capital Revenue,"$30,000,000","$28,000,000",93%,2022
Total,"$330,000,000","$321,000,000",97.3%,2023
Capital Revenue,"$30,000,000","$28,000,000",93%,2023
Non-tributary Revenue,"$50,000,000","$48,000,000",96%,2023
Tributary Revenue,"$250,000,000","$245,000,000",98%,2023
Tributary Revenue,"$250,000,000","$245,000,000",98%,2024
Non-tributary Revenue,"$50,000,000","$48,000,000",96%,2024
Capital Revenue,"$30,000,000","$28,000,000",93%,2024
Total,"$330,000,000","$321,000,000",97.3%,2024
Total,"$330,000,000","$321,000,000",97.3%,2025
Capital Revenue,"$30,000,000","$28,000,000",93%,2025
Non-tributary Revenue,"$50,000,000","$48,000,000",96%,2025
Tributary Revenue,"$250,000,000","$245,000,000",98%,2025
