Source,Amount,% of Total,Variation,year
Property Tax,"$100,000,000",30.3%,5.2%,2019
Business Tax,"$75,000,000",22.7%,6.1%,2019
Fees and Charges,"$55,000,000",16.7%,4.3%,2019
Transfers,"$100,000,000",30.3%,5.8%,2019
Business Tax,"$75,000,000",22.7%,6.1%,2020
Property Tax,"$100,000,000",30.3%,5.2%,2020
Fees and Charges,"$55,000,000",16.7%,4.3%,2020
Transfers,"$100,000,000",30.3%,5.8%,2020
Property Tax,"$100,000,000",30.3%,5.2%,2021
Business Tax,"$75,000,000",22.7%,6.1%,2021
Fees and Charges,"$55,000,000",16.7%,4.3%,2021
Transfers,"$100,000,000",30.3%,5.8%,2021
Property Tax,"$100,000,000",30.3%,5.2%,2022
Fees and Charges,"$55,000,000",16.7%,4.3%,2022
Business Tax,"$75,000,000",22.7%,6.1%,2022
Transfers,"$100,000,000",30.3%,5.8%,2022
Transfers,"$100,000,000",30.3%,5.8%,2023
Fees and Charges,"$55,000,000",16.7%,4.3%,2023
Business Tax,"$75,000,000",22.7%,6.1%,2023
Property Tax,"$100,000,000",30.3%,5.2%,2023
Transfers,"$100,000,000",30.3%,5.8%,2024
Fees and Charges,"$55,000,000",16.7%,4.3%,2024
Property Tax,"$100,000,000",30.3%,5.2%,2024
Business Tax,"$75,000,000",22.7%,6.1%,2024
Property Tax,"$100,000,000",30.3%,5.2%,2025
Business Tax,"$75,000,000",22.7%,6.1%,2025
Fees and Charges,"$55,000,000",16.7%,4.3%,2025
Transfers,"$100,000,000",30.3%,5.8%,2025
