Evolución de las principales metas de programas,"Programado
en el ańo","Programado
Oct-Dic 2023","Ejecutado
Oct-Dic 2023",Diferencia
"Departamento Ejecutivo
1110101000 16 Direccion de Legales y Tecnica",,,,
"59 Mediacion de Multas y Contravenciones (Multas Efectuadas)
1110101000 17 Protocolo y Ceremonial (NO USAR)",400,100,400,300
"60 Eventos Protocolares (Eventos)
1110103000 26 Fondo Educativo",54,0,0,0
"25 Favorecer el funcionamiento de los Establecimientos Educativos.
(cantidad de servicios educativos asistidos)
1110111000 17 Direccion de Bromatologia y Zoonosis",79,20,80,60
"61 Servicios de Castraciones (Castraciones)
7 Control sanitario de comercios ventas de productos alimenticios
(cantidad de comercios impeccionados)
1110111000 18 Direccion de Produccion Ciencia y Tecnologia","500
400","100
100","500
400","400
300"
"1 Infracciones de Transito (Infracciones)
1110111000 20 Direccion de Habitat y Banco de Tierras (NO USAR)",600,150,600,450
"70 Asistencias Habitacionale (Cantidad de familias asistidas)
1110111000 21 Direccion de Deportes (NO USAR)",156,0,0,0
"62 Servicios Deportivos (Eventos Deportivos Realizados)
1110111000 27 Direccion de Seguridad y Proteccion Ciudadana",223,0,0,0
"48 Centro operativo de seguridad ciudadana (cantidad de cámaras de
monitoreo)
1110113000 16 Direccion de Higiene Urbana y Medio Ambiente",198,98,396,298
"58 Asistencias a vecinos (Cantidad de vecinos que se presta servicios)
1110113000 17 Obras y Servicios Publicos",17.000,4.250,17.000,12.750
"20 Ampliac.de la Red Cloacal (Cuadras)
21 Ampl.de Red de Agua Potable. (Cuadras)
1110113000 18 Direccion de Ambiente (NO USAR)","33
43","3
13","33
43","30
30"
"63 Servicios Ambientales (Cantidad de Arboles Plantados)
63 Servicios Ambientales (Instalacion y Mantenimiento de Puntos Limpios)
1110113000 51 Obras de Viviendas","1.000
10","0
0","0
0","0
0"
"51 Terminación de casas diferentes Barrios (cantidad de casas terminadas)
1110113000 52 Obras de Infraestructura Urbana",69,0,69,69
"53 Reparación de calles a través de bacheo con asgalto negro (Cuadras)
1110114000 17 Direccion de Salud",150,35,150,115
"30 Atención de personas en CAPS (Cantidad de personas asitidas)
1110114000 19 Direccion de Inclusion Social",9.920,2.410,9.920,7.510
"58 Asistencias a vecinos (Familias asistidas)
1110114000 20 Direccion de Educacion y Deportes",2.350,595,2.350,1.755
"25 Favorecer el funcionamiento de los Establecimientos Educativos.
(cantidad de servicios educativos asistidos)
1110114000 21 Oficina de Adultos Mayores",184,46,184,138
"64 Asistencia a Personas Mayores (Adultos asistidos)
1110114000 26 Direccion de Juventud",985,246,985,739
"46 Programa solidario y cultural para la juventud (Fomentar la participacion
de los jovenes)
1110114000 28 Direccion de Niñez y Adolescencia",754,50,754,704
"65 Servicios a las Infancias (Acompañamiento a las Flias.y Niños)
1110114000 29 Direccion de Mujeres y Diversidades",78,18,78,60
35 Creación de talleres socio educativos (Apoyar a las Mujeres vulnerables),253,60,253,193
