"R.A.F.A.M. Hoja: 3 de 5
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
11/10/2023 08:56
(CON PERSPECTIVA DE GÉNERO)
Municipalidad de
Carmen de Areco Del 01/07/2023 al 30/09/2023 Ejercicio 2023
:",Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,source_file,source_path,"R.A.F.A.M. Hoja: 4 de 5
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
11/10/2023 08:56
(CON PERSPECTIVA DE GÉNERO)
Municipalidad de
Carmen de Areco Del 01/07/2023 al 30/09/2023 Ejercicio 2023
:","R.A.F.A.M. Hoja: 1 de 5
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
11/10/2023 08:56
(CON PERSPECTIVA DE GÉNERO)
Municipalidad de
Carmen de Areco Del 01/07/2023 al 30/09/2023 Ejercicio 2023
:",Unnamed: 0,Crédito,Modifica,Crédito.1,Preventivo,Compromiso,Devengado,Pagado,Crédito.2,Crédito Vig.,Devengado.1,"R.A.F.A.M. Hoja: 1 de 2
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
10/07/2025 10:32
(CON PERSPECTIVA DE GÉNERO)
Municipalidad de
Carmen de Areco Del 02/01/2025 al 30/06/2025 Ejercicio 2025
:","R.A.F.A.M. Hoja: 2 de 2
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
10/07/2025 10:32
(CON PERSPECTIVA DE GÉNERO)
Municipalidad de
Carmen de Areco Del 02/01/2025 al 30/06/2025 Ejercicio 2025
:","R.A.F.A.M. Hoja: 2 de 5
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
11/10/2023 08:56
(CON PERSPECTIVA DE GÉNERO)
Municipalidad de
Carmen de Areco Del 01/07/2023 al 30/09/2023 Ejercicio 2023
:","R.A.F.A.M. Hoja: 5 de 5
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
11/10/2023 08:56
(CON PERSPECTIVA DE GÉNERO)
Municipalidad de
Carmen de Areco Del 01/07/2023 al 30/09/2023 Ejercicio 2023
:","R.A.F.A.M. Hoja: 1 de 1
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
18/09/202320:31
Municipalidad de Del 02/01/2023 al 30/06/2023
Ejercicio 2023
Carmen de Areco
:",Rubro - Descripción,Procedencia,Recurso,Recurso.1,Recurso.2,Dif. entre,Recursos,Dif. entre.1,Dif. entre.2,Modifica Recurso,Recurso Recurso,RecursoRubro - Descripción Procedencia
Apertura Programática,"Crédito
Aprobado","Modifica
ciones","Crédito
Vigente",Preventivo,Compromiso,Devengado,Pagado,"Crédito
Disponible","Crédito Vig.
- Devengado","Devengado
no pagado",extracted_tables_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/extracted_tables_merged.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Crédito
Aprobado","Modifica
ciones","Crédito
Vigente",Preventivo,Compromiso,Devengado,Pagado,"Crédito
Disponible","Crédito Vig.
- Devengado","Devengado
no pagado",extracted_tables_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/extracted_tables_merged.csv,Apertura Programática,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Crédito
Aprobado","Modifica
ciones","Crédito
Vigente",Preventivo,Compromiso,Devengado,Pagado,"Crédito
Disponible","Crédito Vig.
- Devengado","Devengado
no pagado",extracted_tables_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/extracted_tables_merged.csv,,Apertura Programática,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,extracted_tables_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/extracted_tables_merged.csv,,,Finalidades y Funciones,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,extracted_tables_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/extracted_tables_merged.csv,,,,Aprobado,ciones,Vigente,,,,,Disponible,- Devengado,no pagado,,,,,,,,,,,,,,,,,
,"Crédito
Aprobado","Modifica
ciones","Crédito
Vigente",Preventivo,Compromiso,Devengado,Pagado,"Crédito
Disponible","Crédito Vig.
- Devengado","Devengado
no pagado",extracted_tables_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/extracted_tables_merged.csv,,,,,,,,,,,,,,Apertura Programática,,,,,,,,,,,,,,,,
,,,,,,,,,,,extracted_tables_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/extracted_tables_merged.csv,,,Finalidades y Funciones,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,extracted_tables_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/extracted_tables_merged.csv,,,,Aprobado,ciones,Vigente,,,,,Disponible,- Devengado,no pagado,,,,,,,,,,,,,,,,,
,"Crédito
Aprobado","Modifica
ciones","Crédito
Vigente",Preventivo,Compromiso,Devengado,Pagado,"Crédito
Disponible","Crédito Vig.
- Devengado","Devengado
no pagado",extracted_tables_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/extracted_tables_merged.csv,,,,,,,,,,,,,,,Apertura Programática,,,,,,,,,,,,,,,
,"Crédito
Aprobado","Modifica
ciones","Crédito
Vigente",Preventivo,Compromiso,Devengado,Pagado,"Crédito
Disponible","Crédito Vig.
- Devengado","Devengado
no pagado",extracted_tables_merged.csv,/Users/flong/Developer/cda-transparencia/frontend/dist/data/merged_datasets/extracted_tables_merged.csv,,,,,,,,,,,,,,,,Apertura Programática,,,,,,,,,,,,,,
