year,type,title,link,format
2019,Informe Económico,2019 - Revenue,2019_revenue.csv,CSV
2019,Informe Económico,2019 - Expenditure,2019_expenditure.csv,CSV
2019,Informe Económico,2019 - Fiscal Balance,2019_fiscal_balance.csv,CSV
2019,Informe Económico,2019 - Revenue By Type,2019_revenue_by_type.csv,CSV
2019,Informe Económico,2019 - Expenditure By Function,2019_expenditure_by_function.csv,CSV
2019,Informe Económico,2019 - Personnel Expenses,2019_personnel_expenses.csv,CSV
2019,Informe Económico,2019 - Investment By Area,2019_investment_by_area.csv,CSV
2019,Informe Económico,2019 - Debt Status,2019_debt_status.csv,CSV
2019,Informe Económico,2019 - Budget Execution Quarterly,2019_budget_execution_quarterly.csv,CSV
2019,Informe Económico,2019 - Revenue Sources Evolution,2019_revenue_sources_evolution.csv,CSV
2019,Informe Económico,2019 - Expenditure Administrative Level,2019_expenditure_admin_level.csv,CSV
2019,Informe Económico,2019 - Capital vs Current Expenditure,2019_capital_current_expenditure.csv,CSV
2019,Informe Económico,2019 - Financial Reserves,2019_financial_reserves.csv,CSV
2019,Informe Económico,2019 - Summary,2019_summary.csv,CSV
2022,Transparencia,Estado de Ejecución de Recursos Q1 2022,transparency_index.csv,CSV
2022,Transparencia,Gastos Q1 2022,transparency_index.csv,CSV
2022,Transparencia,Situación Económico-Financiera Q1 2022,transparency_index.csv,CSV
2022,Transparencia,Estado de Ejecución de Recursos Q2 2022,transparency_index.csv,CSV
2022,Transparencia,Gastos Q2 2022,transparency_index.csv,CSV
2022,Transparencia,Situación Económico-Financiera Q2 2022,transparency_index.csv,CSV
2022,Transparencia,Stock de Deuda Anual 2022,transparency_index.csv,CSV
2022,Transparencia,Perspectiva de Género Anual 2022,transparency_index.csv,CSV
2023,Transparencia,Estado de Ejecución de Recursos Q1 2023,transparency_index.csv,CSV
2023,Transparencia,Gastos Q1 2023,transparency_index.csv,CSV
2023,Transparencia,Situación Económico-Financiera Q1 2023,transparency_index.csv,CSV
2023,Transparencia,Estado de Ejecución de Recursos Q2 2023,transparency_index.csv,CSV
2023,Transparencia,Gastos Q2 2023,transparency_index.csv,CSV
2023,Transparencia,Situación Económico-Financiera Q2 2023,transparency_index.csv,CSV
2023,Transparencia,Stock de Deuda Anual 2023,transparency_index.csv,CSV
2023,Transparencia,Perspectiva de Género Anual 2023,transparency_index.csv,CSV
2024,Transparencia,Estado de Ejecución de Recursos Q1 2024,transparency_index.csv,CSV
2024,Transparencia,Gastos Q1 2024,transparency_index.csv,CSV
2024,Transparencia,Situación Económico-Financiera Q1 2024,transparency_index.csv,CSV
2024,Transparencia,Estado de Ejecución de Recursos Q2 2024,transparency_index.csv,CSV
2024,Transparencia,Gastos Q2 2024,transparency_index.csv,CSV
2024,Transparencia,Situación Económico-Financiera Q2 2024,transparency_index.csv,CSV
2024,Transparencia,Stock de Deuda Anual 2024,transparency_index.csv,CSV
2024,Transparencia,Perspectiva de Género Anual 2024,transparency_index.csv,CSV
2025,Transparencia,Estado de Ejecución de Recursos Q1 2025,transparency_index.csv,CSV
2025,Transparencia,Gastos Q1 2025,transparency_index.csv,CSV
