year,type,title,link,format,description,status
2023,Estadísticas,ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4 TRI_financial_data json - Fecha: 23/04/2024,/Users/flong/Developer/cda-transparencia/data/extracted_data/ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4°TRI_financial_data.json,JSON,,Disponible
Unknown,Estadísticas,SITUACION-ECONOMICA-FINANCIERA-4 TRIMESTRE_financial_data json - Fecha: 23/04/2024,/Users/flong/Developer/cda-transparencia/data/extracted_data/SITUACION-ECONOMICA-FINANCIERA-4°TRIMESTRE_financial_data.json,JSON,,Disponible
2023,Estadísticas,ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2023-4 TRI_financial_data json - Fecha: 23/04/2024,/Users/flong/Developer/cda-transparencia/data/extracted_data/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-2023-4°TRI_financial_data.json,JSON,,Disponible
2019,Informe Económico,Archivo: 2019_personnel_expenses.csv,2019_personnel_expenses.csv,CSV,Archivo generado por extracción de datos,Disponible
2025,Transparencia,Archivo: transparency_index.csv,transparency_index.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_revenue.csv,2019_revenue.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_expenditure_by_function.csv,2019_expenditure_by_function.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_financial_reserves.csv,2019_financial_reserves.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_capital_current_expenditure.csv,2019_capital_current_expenditure.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_fiscal_balance.csv,2019_fiscal_balance.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_summary.csv,2019_summary.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_expenditure.csv,2019_expenditure.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_revenue_by_type.csv,2019_revenue_by_type.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_expenditure_admin_level.csv,2019_expenditure_admin_level.csv,CSV,Archivo generado por extracción de datos,Disponible
2025,Otros,Archivo: master_index.csv,master_index.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_investment_by_area.csv,2019_investment_by_area.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_budget_execution_quarterly.csv,2019_budget_execution_quarterly.csv,CSV,Archivo generado por extracción de datos,Disponible
2023,Licitaciones,Archivo: licitaciones_2023.csv,licitaciones_2023.csv,CSV,Archivo generado por extracción de datos,Disponible
2025,Estadísticas,Archivo: estadisticas_index.csv,estadisticas_index.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_debt_status.csv,2019_debt_status.csv,CSV,Archivo generado por extracción de datos,Disponible
2019,Informe Económico,Archivo: 2019_revenue_sources_evolution.csv,2019_revenue_sources_evolution.csv,CSV,Archivo generado por extracción de datos,Disponible
