Year,Quarter,Report Type,PDF Link,Format
,,Documentos Municipales,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Municipal_Documents/General/Unknown_Year/GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf,text
2022.0,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-4°TRE-2022.pdf,text
2022.0,3Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/2022/ESTADOS-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-3°TRI-2022.pdf,text
2022.0,3Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/2022/ESTADOS-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-3°TRI-2022.pdf,text
2022.0,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-4°TRE-2022.pdf,text
2022.0,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,text
2022.0,3Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/2022/ESTADOS-DE-EJECUCION-DE-RECURSOS-3°TRI-2022.pdf,text
2023.0,4Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-2023-4°TRI.pdf,text
2023.0,4Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-2023-4°TRI.pdf,text
2023.0,4Q,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4°TRI.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/Unknown_Year/Estado-de-Ejecucion-de-Recursos-Marzo.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/Unknown_Year/Estado-de-Ejecucion-de-Recursos-por-Procedencia-Marzo.pdf,text
,,Ejecución de Recursos,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/Unknown_Year/Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Marzo.pdf,text
