"year","quarter","indicator","value","unit","category","subcategory"
"2019","Q1","Total Revenue",234125273.85,"ARS","Revenue","Total"
"2019","Q1","Total Expenditure",266210998.09,"ARS","Expenditure","Total"
"2019","Q1","Net Result",-32085724.24,"ARS","Financial Result","Net"
"2019","Q1","Personnel Expenditure",115221488.53,"ARS","Expenditure","Personnel"
"2019","Q1","Operating Expenditure",210204770.68,"ARS","Expenditure","Operating"
"2019","Q1","Current Assets",72871274.53,"ARS","Assets","Current"
"2019","Q1","Non-current Assets",127190883.34,"ARS","Assets","Non-current"
"2019","Q1","Current Liabilities",-5669298.76,"ARS","Liabilities","Current"
"2019","Q1","Non-current Liabilities",-1484819.59,"ARS","Liabilities","Non-current"
"2020","Q1","Total Revenue",243511982.00,"ARS","Revenue","Total"
"2020","Q1","Total Expenditure",230100000.00,"ARS","Expenditure","Total"
"2020","Q1","Net Result",13411982.00,"ARS","Financial Result","Net"
"2021","Q1","Total Revenue",280000000.00,"ARS","Revenue","Total"
"2021","Q1","Total Expenditure",265000000.00,"ARS","Expenditure","Total"
"2021","Q1","Net Result",15000000.00,"ARS","Financial Result","Net"
"2022","Q1","Total Revenue",1005000000.00,"ARS","Revenue","Total"
"2022","Q1","Total Expenditure",1493000000.00,"ARS","Expenditure","Total"
"2022","Q1","Net Result",-488000000.00,"ARS","Financial Result","Net"
"2023","Q3","Total Revenue",1846000000.00,"ARS","Revenue","Total"
"2023","Q3","Total Expenditure",1872000000.00,"ARS","Expenditure","Total"
"2023","Q3","Net Result",-26000000.00,"ARS","Financial Result","Net"
"2024","Q1","Total Revenue",7081000000.00,"ARS","Revenue","Total"
"2024","Q1","Total Expenditure",6853000000.00,"ARS","Expenditure","Total"
"2024","Q1","Net Result",228000000.00,"ARS","Financial Result","Net"
"2025","Q1","Total Revenue",1876000000.00,"ARS","Revenue","Total"
"2025","Q1","Total Expenditure",1986000000.00,"ARS","Expenditure","Total"
"2025","Q1","Net Result",-110000000.00,"ARS","Financial Result","Net"
