id,title,url,year,category,source,type,description,official_url,size_mb,last_modified
pdf-5,Situacion Economica Financiera al 31 12 22,http://carmendeareco.gob.ar/wp-content/uploads/2023/Situacion-Economica-Financiera-al-31-12-22.pdf,2023,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2023/Situacion-Economica-Financiera-al-31-12-22.pdf,1.3,
pdf-10,Situacion Economica Financiera al 30 06 23,http://carmendeareco.gob.ar/wp-content/uploads/2023/Situacion-Economica-Financiera-al-30-06-23.pdf,2023,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2023/Situacion-Economica-Financiera-al-30-06-23.pdf,0.26,
pdf-73,SITUACION ECONOMICA FINANCIERA,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICA-FINANCIERA.pdf,2023,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICA-FINANCIERA.pdf,0.07,
pdf-108,situacion economica032,http://carmendeareco.gob.ar/wp-content/uploads/2023/situacion-economica032.pdf,2023,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2023/situacion-economica032.pdf,0.62,
pdf-112,SITUACION ECONOMICA FINANCIERA 1,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICA-FINANCIERA-1.pdf,2023,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICA-FINANCIERA-1.pdf,0.07,
pdf-125,SITUACION ECONOMICA FINANCIERA 2,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICA-FINANCIERA-2.pdf,2023,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICA-FINANCIERA-2.pdf,0.07,
pdf-143,SITUACION ECONOMICA FINANCIERA 3°TRIMESTRE,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICA-FINANCIERA-3°TRIMESTRE.pdf,2023,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICA-FINANCIERA-3°TRIMESTRE.pdf,0.07,
pdf-147,SITUACION ECONOMICA FINANCIERA 4°TRIMESTRE,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICA-FINANCIERA-4°TRIMESTRE.pdf,2023,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICA-FINANCIERA-4°TRIMESTRE.pdf,0.08,
pdf-100,SITUACION ECONOMICA FINANCIERA 4°TRE 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/SITUACION-ECONOMICA-FINANCIERA-4°TRE-2022.pdf,2022,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2022/SITUACION-ECONOMICA-FINANCIERA-4°TRE-2022.pdf,0.08,
pdf-150,SITUACION ECONOMICA FINANCIERA 3°TRI 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/SITUACION-ECONOMICA-FINANCIERA-3°TRI-2022.pdf,2022,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2022/SITUACION-ECONOMICA-FINANCIERA-3°TRI-2022.pdf,0.07,
pdf-145,BALANCE GENERAL 2020,http://carmendeareco.gob.ar/wp-content/uploads/2020/BALANCE-GENERAL-2020.pdf,2020,Estados_Financieros,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Estados Financieros,http://carmendeareco.gob.ar/wp-content/uploads/2020/BALANCE-GENERAL-2020.pdf,0.38,
