id,title,url,year,category,source,type,description,official_url,size_mb,last_modified
pdf-1,ANEXO II ZONAS IMPOSITIVAS,http://carmendeareco.gob.ar/wp-content/uploads/2023/ANEXO-II-ZONAS-IMPOSITIVAS.pdf,2023,Documentos Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/ANEXO-II-ZONAS-IMPOSITIVAS.pdf,0.3,
pdf-136,CAIF,http://carmendeareco.gob.ar/wp-content/uploads/2023/CAIF.pdf,2023,Salud Pública,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Salud Pública,http://carmendeareco.gob.ar/wp-content/uploads/2023/CAIF.pdf,0.36,
pdf-53,CAIF 1,http://carmendeareco.gob.ar/wp-content/uploads/2023/CAIF-1.pdf,2023,Salud Pública,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Salud Pública,http://carmendeareco.gob.ar/wp-content/uploads/2023/CAIF-1.pdf,0.09,
pdf-69,CAIF 2,http://carmendeareco.gob.ar/wp-content/uploads/2023/CAIF-2.pdf,2023,Salud Pública,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Salud Pública,http://carmendeareco.gob.ar/wp-content/uploads/2023/CAIF-2.pdf,0.09,
pdf-75,CAIF 3,http://carmendeareco.gob.ar/wp-content/uploads/2023/CAIF-3.pdf,2023,Salud Pública,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Salud Pública,http://carmendeareco.gob.ar/wp-content/uploads/2023/CAIF-3.pdf,0.09,
pdf-56,CAIF 3°TRIMESTRE,http://carmendeareco.gob.ar/wp-content/uploads/2023/CAIF-3°TRIMESTRE.pdf,2023,Salud Pública,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Salud Pública,http://carmendeareco.gob.ar/wp-content/uploads/2023/CAIF-3°TRIMESTRE.pdf,0.09,
pdf-45,CUENTA AHORRO INVERSION FINANCIAMIENTO 4°TRIMESTRE 2023,http://carmendeareco.gob.ar/wp-content/uploads/2023/CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-4°TRIMESTRE-2023.pdf,2023,Documentos Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-4°TRIMESTRE-2023.pdf,0.09,
pdf-74,Cuenta Ahorro Inversion Financiamiento 3er Trimestre,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-3er-Trimestre.pdf,2023,Documentos Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-3er-Trimestre.pdf,0.36,
pdf-62,Cuenta Ahorro Inversion Financiamiento 4to Trimestre,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-4to-Trimestre.pdf,2023,Documentos Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-4to-Trimestre.pdf,0.35,
pdf-31,Cuenta Ahorro Inversion Financiamiento Junio,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-Junio.pdf,2023,Documentos Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-Junio.pdf,0.36,
pdf-163,Cuenta Ahorro Inversion Financiamiento Marzo,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-Marzo.pdf,2023,Documentos Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-Marzo.pdf,0.36,
pdf-77,EJECUCION DE GASTOS,http://carmendeareco.gob.ar/wp-content/uploads/2023/EJECUCION-DE-GASTOS.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/EJECUCION-DE-GASTOS.pdf,1.94,
pdf-36,EJECUCION PRESUPUESTARIA DE RECURSOS,http://carmendeareco.gob.ar/wp-content/uploads/2023/EJECUCION-PRESUPUESTARIA-DE-RECURSOS.pdf,2023,Ejecución de Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/EJECUCION-PRESUPUESTARIA-DE-RECURSOS.pdf,0.45,
pdf-126,ESTADO DE EJECUCION DE GASTOS,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS.pdf,1.12,
pdf-9,ESTADO DE EJECUCION DE GASTOS 1,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-1.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-1.pdf,1.09,
pdf-2,ESTADO DE EJECUCION DE GASTOS 2,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-2.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-2.pdf,1.12,
pdf-29,ESTADO DE EJECUCION DE GASTOS 2023 4°TRI,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-2023-4°TRI.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-2023-4°TRI.pdf,1.11,
pdf-82,ESTADO DE EJECUCION DE GASTOS 3°TRIMESTRE,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-3°TRIMESTRE.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-3°TRIMESTRE.pdf,1.1,
pdf-142,ESTADO DE EJECUCION DE GASTOS CON PERSPECTIVA DE GENERO 2,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-2.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-2.pdf,0.08,
pdf-16,ESTADO DE EJECUCION DE GASTOS CON PERSPECTIVA DE GENERO 3°TRIMESTRE,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-3°TRIMESTRE.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-3°TRIMESTRE.pdf,0.08,
pdf-154,ESTADO DE EJECUCION DE GASTOS POR CARACTER ECONOMICO,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO.pdf,0.1,
pdf-55,ESTADO DE EJECUCION DE GASTOS POR CARACTER ECONOMICO 1,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-1.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-1.pdf,0.1,
pdf-72,ESTADO DE EJECUCION DE GASTOS POR CARACTER ECONOMICO 2,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-2.pdf,2023,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-2.pdf,0.1,
