Hoja: 1 de 5
Vigente26/04/2025R.A.F.A.M.
13:00
Municipalidad de
Carmen de Areco
Compromiso Devengado Pagado Devengado PercibidoESTADO DE EJECUCION DE RECURSOS AFECTADOS VS. GASTOS
Recursos GastosDel 02/01/2025 al 31/03/2025
Devengado
no  PagadoRubro - DescripciónDif. entre
Rec.Percibidos
y Gastos
Pagados( * )2025 Ejercicio:
247.500,00 247.500,00 247.500,00 28.173.939,00 7.035.330,68 12.1.01.04 - Contribucion de Fortalecimiento de la Seguridad 7.035.330,68 0,00 6.787.830,68
1.219.972,85 1.219.972,85 1.219.972,85 8.058.014,00 1.625.878,00 12.1.15.03 - Serv. Sanitarios Mant. Ampliacion y Conexion 1.625.878,00 0,00 405.905,15
4.599.102,00 4.599.102,00 4.599.102,00 27.363.323,00 9.236.772,88 12.1.15.04 - Contribucion para la prevencion Zoonótica 9.236.772,88 0,00 4.637.670,88
0,00 0,00 0,00 96.000.000,00 0,00 12.1.17.01 - Tasa Vial Urbana y Abiental del Ejercicio 0,00 0,00 0,00
0,00 0,00 0,00 247.023.800,00 0,00 12.2.05.02 - Derecho de Ocupación Via Publica Afectado GAS 0,00 0,00 0,00
0,00 0,00 0,00 0,00 711.148,80 12.2.17.02 - Venta ambulante afectado 711.148,80 0,00 711.148,80
0,00 0,00 0,00 12.701.998,00 4.594.236,00 12.6.04.00 - (10096/0) Infracciones normativas vigentes  y REBA 4.594.236,00 0,00 4.594.236,00
13.460.328,34 13.460.328,34 13.460.328,34 56.911.587,00 21.177.400,00 12.9.01.00 - Balneario Municipal Ord. Nro.2355/08-Dec.733/08 21.177.400,00 0,00 7.717.071,66
0,00 0,00 0,00 0,00 37.273,50 34.1.06.00 - PRESTAMOS DE MATERIALES 37.273,50 0,00 37.273,50
0,00 0,00 0,00 61.409,72 0,00 35.1.01.12 - ( 10089/)Fondo Productivo Municipal 0,00 0,00 61.409,72
0,00 0,00 0,00 5.000,00 0,00 35.1.01.19 - Banco de Fondos Rotatorios Ord.3155/22 0,00 0,00 5.000,00
615.020,03 615.020,03 615.020,03 3.812.715,20 0,00 35.1.01.31 - Infracc. normativas REBA 0,00 0,00 3.197.695,17
0,00 0,00 0,00 67.200,29 0,00 35.1.01.32 - Percepciones judiciales normativas vigentes 0,00 0,00 67.200,29
605.145,67 605.145,67 605.145,67 703.514,05 0,00 35.1.01.45 - Balneario Municipal 0,00 0,00 98.368,...
