id,title,url,year,category,source,type,description,official_url,size_mb,last_modified
pdf-66,ORGANIGRAMA 2025,http://carmendeareco.gob.ar/wp-content/uploads/2025/ORGANIGRAMA-2025.pdf,2025,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2025/ORGANIGRAMA-2025.pdf,0.52,
pdf-1,ANEXO II ZONAS IMPOSITIVAS,http://carmendeareco.gob.ar/wp-content/uploads/2023/ANEXO-II-ZONAS-IMPOSITIVAS.pdf,2023,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/ANEXO-II-ZONAS-IMPOSITIVAS.pdf,0.3,
pdf-6,Situacion financiera,http://carmendeareco.gob.ar/wp-content/uploads/2023/Situacion-financiera.pdf,2023,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/Situacion-financiera.pdf,0.66,
pdf-11,GASTOS POR FUENTE DE FINANCIAMIENTO,http://carmendeareco.gob.ar/wp-content/uploads/2023/GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf,2023,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf,0.26,
pdf-31,Cuenta Ahorro Inversion Financiamiento Junio,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-Junio.pdf,2023,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-Junio.pdf,0.36,
pdf-33,Situacion Economico Financiera Junio,http://carmendeareco.gob.ar/wp-content/uploads/2023/Situacion-Economico-Financiera-Junio.pdf,2023,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/Situacion-Economico-Financiera-Junio.pdf,0.21,
pdf-45,CUENTA AHORRO INVERSION FINANCIAMIENTO 4°TRIMESTRE 2023,http://carmendeareco.gob.ar/wp-content/uploads/2023/CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-4°TRIMESTRE-2023.pdf,2023,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/CUENTA-AHORRO-INVERSION-FINANCIAMIENTO-4°TRIMESTRE-2023.pdf,0.09,
pdf-47,GASTOS POR CARACTER ECONOMICO,http://carmendeareco.gob.ar/wp-content/uploads/2023/GASTOS-POR-CARACTER-ECONOMICO.pdf,2023,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/GASTOS-POR-CARACTER-ECONOMICO.pdf,0.38,
pdf-48,SITUACION ECONOMICO FINANCIERA,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICO-FINANCIERA.pdf,2023,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/SITUACION-ECONOMICO-FINANCIERA.pdf,0.22,
pdf-59,GASTOS POR FINALIDAD Y FUNCION,http://carmendeareco.gob.ar/wp-content/uploads/2023/GASTOS-POR-FINALIDAD-Y-FUNCION.pdf,2023,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/GASTOS-POR-FINALIDAD-Y-FUNCION.pdf,0.37,
pdf-62,Cuenta Ahorro Inversion Financiamiento 4to Trimestre,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-4to-Trimestre.pdf,2023,Documentos_Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2023/Cuenta-Ahorro-Inversion-Financiamiento-4to-Trimestre.pdf,0.35,
