id,title,url,year,category,source,type,description,official_url,size_mb,last_modified
pdf-166,Anexo II Ordenanza Impositiva 3135 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/Anexo-II-Ordenanza-Impositiva-3135-2022.pdf,2022,Documentos Generales,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Documentos Generales,http://carmendeareco.gob.ar/wp-content/uploads/2022/Anexo-II-Ordenanza-Impositiva-3135-2022.pdf,0.65,
pdf-83,CAIF 3°TRI 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/CAIF-3°TRI-2022.pdf,2022,Salud Pública,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Salud Pública,http://carmendeareco.gob.ar/wp-content/uploads/2022/CAIF-3°TRI-2022.pdf,0.09,
pdf-153,CAIF 4°TRE 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/CAIF-4°TRE-2022.pdf,2022,Salud Pública,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Salud Pública,http://carmendeareco.gob.ar/wp-content/uploads/2022/CAIF-4°TRE-2022.pdf,0.09,
pdf-152,ESTADO DE EJECUCION DE GASTOS 3°TRI 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-GASTOS-3°TRI-2022.pdf,2022,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-GASTOS-3°TRI-2022.pdf,1.1,
pdf-84,ESTADO DE EJECUCION DE GASTOS 4°TRE 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-GASTOS-4°TRE-2022.pdf,2022,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-GASTOS-4°TRE-2022.pdf,1.24,
pdf-21,ESTADO DE EJECUCION DE GASTOS POR CARACTER ECONOMICO 4°TRE 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,2022,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,0.1,
pdf-23,ESTADO DE EJECUCION DE GASTOS POR FINALIDAD Y FUNCION 4°TRE 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-4°TRE-2022.pdf,2022,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-4°TRE-2022.pdf,0.1,
pdf-141,ESTADO DE EJECUCION DE GASTOS POR FUENTE DE FINANCIAMIENTO 4°TRE 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-4°TRE-2022.pdf,2022,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-4°TRE-2022.pdf,0.06,
pdf-138,ESTADO DE EJECUCION DE RECURSOS 4°TRE 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-4°TRE-2022.pdf,2022,Ejecución de Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-4°TRE-2022.pdf,0.14,
pdf-18,ESTADO DE EJECUCION DE RECURSOS AFECTADOS VS GASTOS 4°TRE 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-4°TRE-2022.pdf,2022,Ejecución de Gastos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Gastos,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-4°TRE-2022.pdf,0.11,
pdf-149,ESTADO DE EJECUCION DE RECURSOS POR CARACTER ECONOMICO 4°TRE 2022,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,2022,Ejecución de Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,0.1,
