Year,Category,File Type,Filename,Relative Path,Official URL,File Size
2000,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Decreto 1738_2000.json,2000/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Decreto 1738_2000.json,http://carmendeareco.gob.ar/wp-content/uploads/2000/Sistema de Información Normativa y Documental Malvinas Argentinas - Decreto 1738_2000.pdf,171
2007,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Decreto 815_2007.json,2007/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Decreto 815_2007.json,http://carmendeareco.gob.ar/wp-content/uploads/2007/Sistema de Información Normativa y Documental Malvinas Argentinas - Decreto 815_2007.pdf,170
2008,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Decreto 3429_2008.json,2008/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Decreto 3429_2008.json,http://carmendeareco.gob.ar/wp-content/uploads/2008/Sistema de Información Normativa y Documental Malvinas Argentinas - Decreto 3429_2008.pdf,171
2011,Documentos_Generales,json,Resolución 269_2011.json,2011/Documentos_Generales/json/Resolución 269_2011.json,http://carmendeareco.gob.ar/wp-content/uploads/2011/Resolución 269_2011.pdf,105
2011,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 269_2011 del Organismo de Control de la Energía Eléctrica.json,2011/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 269_2011 del Organismo de Control de la Energía Eléctrica.json,http://carmendeareco.gob.ar/wp-content/uploads/2011/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 269_2011 del Organismo de Control de la Energía Eléctrica.pdf,225
2012,Documentos_Generales,json,COSECHA 2012-2021.json,2012/Documentos_Generales/json/COSECHA 2012-2021.json,http://carmendeareco.gob.ar/wp-content/uploads/2012/COSECHA 2012-2021.pdf,102
2012,Documentos_Generales,json,PRODUCCION 2012-2021.json,2012/Documentos_Generales/json/PRODUCCION 2012-2021.json,http://carmendeareco.gob.ar/wp-content/uploads/2012/PRODUCCION 2012-2021.pdf,105
2012,Documentos_Generales,json,SIEMBRA 2012-2021.json,2012/Documentos_Generales/json/SIEMBRA 2012-2021.json,http://carmendeareco.gob.ar/wp-content/uploads/2012/SIEMBRA 2012-2021.pdf,102
2012,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 87_2012 del Organismo de Control de la Energía Eléctrica.json,2012/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 87_2012 del Organismo de Control de la Energía Eléctrica.json,http://carmendeareco.gob.ar/wp-content/uploads/2012/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 87_2012 del Organismo de Control de la Energía Eléctrica.pdf,224
2014,Documentos_Generales,json,Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 205_2014 del Organismo de Control de la Energía Eléctrica.json,2014/Documentos_Generales/json/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 205_2014 del Organismo de Control de la Energía Eléctrica.json,http://carmendeareco.gob.ar/wp-content/uploads/2014/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 205_2014 del Organismo de Control de la Energía Eléctrica.pdf,225
