Demostracion del Saldo,Importe
111210104 PARTICIPACION IMPUESTOS PROVINCIALES,379.449,30
111210107 INMOBILIARIO RURAL NO AFECTADO,177.861,13
111210108 INGRESOS BRUTOS,428,24
111210117 RECURSOS ORDINARIOS,60.532,50
111220101 FONDO VIVIENDA MUNICIPAL,190.780,09
111220102 INMOBILIARIO RURAL AFECTADO,858.657,57
111220103 FONDO PRODUCTIVO MUNICIPAL,43.966,04
111220106 FONDO TENDIENDO REDES,2.548,20
111220107 POLICIA COMUNAL,4.380,14
111220108 SEGUNDA OPORTUNIDAD,586,04
111220109 RECURSOS AFECTADOS,3.509.966,87
111220112 PLAN NACER,3.310,50
111220113 FONDO SOLIDARIO PCIAL SOJA,462,10
111220114 COPARTICIPACION FONDO EDUCATIVO,42.141,33
111220115 FONDO DE INFRAESTRUCTURA,22.842,71
111220118 S.A.M.O, Sistema de Atención Médica Organizada,80.299,94
111220203 PLAN NACIONAL DE OBRAS MUNICIPALES,284.875,02
111220212 HABITAT NORTE INTERIOR Y OBRAS Y VIVIENDA,0,80
111230101 CUENTA DE TERCEROS,733.710,68
Total Disponibilidades:,6.396.799,20
