indicator,source_file,period,planned,executed
families_assisted,unknown,Unknown,2.080,0
families_assisted,unknown,Unknown,2.080,
security_cameras,unknown,Unknown,198,
families_assisted,unknown,Unknown,2.350,
security_cameras,unknown,Unknown,198,
families_assisted,unknown,Unknown,2.350,
security_cameras,unknown,Unknown,198,
families_assisted,unknown,Unknown,2.350,
security_cameras,unknown,Unknown,198,
families_assisted,unknown,Unknown,2.350,
families_assisted,unknown,Unknown,3.500,
families_assisted,unknown,Unknown,3.500,
families_assisted,unknown,Unknown,3.500,
families_assisted,unknown,Unknown,3.500,
security_cameras,unknown,Unknown,160,
families_assisted,unknown,Unknown,1.000,
security_cameras,unknown,Unknown,160,
families_assisted,unknown,Unknown,1.000,
security_cameras,unknown,Unknown,160,
families_assisted,unknown,Unknown,1.000,
security_cameras,unknown,Unknown,160,
families_assisted,unknown,Unknown,1.000,
