Evolucion de Gastos por Objeto,Vigente,Preventivo,Compromiso,Devengado,Pagado
I. Presupuestarios,,
Gastos en personal,90.020.334,35,0,00,115.221.488,53,115.221.488,53,115.221.488,53
Bienes de consumo,42.976.482,57,0,00,48.292.633,90,48.290.113,49,45.006.222,39
Servicios no personales,57.920.052,05,0,00,66.281.069,41,65.636.414,91,64.584.379,32
Bienes de uso,31.617.505,57,0,00,30.571.005,55,30.464.964,30,29.993.727,40
Transferencias,9.573.146,58,0,00,10.376.925,15,10.376.925,15,10.248.500,66
Activos financieros,1.158.513,63,0,00,517.575,61,517.575,61,517.575,61
Servicio de la deuda y disminución de otros pasivos,2.117.810,00,0,00,639.104,18,639.104,18,639.104,18
Total,235.383.844,75,0,00,271.899.802,33,271.146.586,17,266.210.998,09
II. Extrapresupuestarios,,,,,22.620.259,13,22.620.259,13
Total General (1+2),235.383.844,75,0,00,271.899.802,33,293.766.845,30,288.831.257,22
