filename,year,file_type,size_bytes,created_date,modified_date,sha256_hash,relative_path,document_type,estimated_category,priority,keywords,official_url,archive_url
Acta_de_Apertura_FEAsaU6.pdf,2017,.pdf,40418,2025-08-25T15:58:40.995408,2025-08-24T13:23:02.075938,960b15aa2880ac9111ebf67fafc0d671378626a0017c9abc7017e33565e988cd,data/source_materials/2017/Acta_de_Apertura_FEAsaU6.pdf,general,general,normal,,https://carmendeareco.gob.ar/transparencia/Acta_de_Apertura_FEAsaU6.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/Acta_de_Apertura_FEAsaU6.pdf
RS-2017-03840811-GDEBA.pdf,2017,.pdf,110518,2025-08-25T15:58:40.995703,2025-08-24T13:23:02.076118,b0067a8617c37514a39066815c5db4f3338a1a42d18166ef8169d3609914a292,data/source_materials/2017/RS-2017-03840811-GDEBA.pdf,general,general,normal,,https://carmendeareco.gob.ar/transparencia/RS-2017-03840811-GDEBA.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/RS-2017-03840811-GDEBA.pdf
Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 206_2018 del Organismo de Control de la Energía Eléctrica.pdf,2018,.pdf,895552,2025-08-25T15:58:41.005827,2025-08-24T13:23:02.078408,6d4d67c55622e8280c0036b3ea9257498713b3c77c9f5e3898ef3a984abd60a1,data/source_materials/2018/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 206_2018 del Organismo de Control de la Energía Eléctrica.pdf,general,general,normal,,https://carmendeareco.gob.ar/transparencia/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 206_2018 del Organismo de Control de la Energía Eléctrica.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 206_2018 del Organismo de Control de la Energía Eléctrica.pdf
Resolución 210_2018.pdf,2018,.pdf,116936,2025-08-25T15:58:41.006077,2025-08-24T13:23:02.077138,8741299ac5d54cc0bbdca06e763d9295e4c9a86b18dbfe321b0d176287f09300,data/source_materials/2018/Resolución 210_2018.pdf,general,general,normal,,https://carmendeareco.gob.ar/transparencia/Resolución 210_2018.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/Resolución 210_2018.pdf
.DS_Store,2018,,6148,2025-08-25T15:58:41.006279,2025-08-24T15:56:19.386276,18a3295f0771e21c48355d75012d810ba40da4dcc0135eff94b6efc25ca63300,data/source_materials/2018/.DS_Store,general,general,normal,,https://carmendeareco.gob.ar/transparencia/.DS_Store,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/.DS_Store
Resolución 206_2018.pdf,2018,.pdf,118435,2025-08-25T15:58:41.006543,2025-08-24T13:23:02.076846,917af98d82d9823539c7a6ac25d45e5db7bca5d5ffae9f3b38574bb12c415a91,data/source_materials/2018/Resolución 206_2018.pdf,general,general,normal,,https://carmendeareco.gob.ar/transparencia/Resolución 206_2018.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/Resolución 206_2018.pdf
Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 210_2018 del Organismo de Control de la Energía Eléctrica.pdf,2018,.pdf,894125,2025-08-25T15:58:41.006894,2025-08-24T13:23:02.079714,fe4590ed39c9aa13e53cad629af8a43f837223d2ab56147b0ae60898c13e1009,data/source_materials/2018/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 210_2018 del Organismo de Control de la Energía Eléctrica.pdf,general,general,normal,,https://carmendeareco.gob.ar/transparencia/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 210_2018 del Organismo de Control de la Energía Eléctrica.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 210_2018 del Organismo de Control de la Energía Eléctrica.pdf
Contrato_CGZzWR1.pdf,2018,.pdf,252764,2025-08-25T15:58:41.007095,2025-08-24T13:23:02.076615,932f98cbefc8df9d4068016d7658f32af37e075b08ce5a7feeb4fe9336276de7,data/source_materials/2018/Contrato_CGZzWR1.pdf,public_tender,contracts,high,licitacion,https://carmendeareco.gob.ar/transparencia/Contrato_CGZzWR1.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/Contrato_CGZzWR1.pdf
Acto_de_Adjudicacion_QmqNYiE.pdf,2018,.pdf,113410,2025-08-25T15:58:41.007328,2025-08-24T13:23:02.076400,9a1bbb85ca7d44235d9a3df9c961b3d47af48f047e30cc2d3ce635e0cf3a69c3,data/source_materials/2018/Acto_de_Adjudicacion_QmqNYiE.pdf,general,general,normal,,https://carmendeareco.gob.ar/transparencia/Acto_de_Adjudicacion_QmqNYiE.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/Acto_de_Adjudicacion_QmqNYiE.pdf
2019-Situacion-Economico-Financiero-Carmen-de-Areco.pdf,2019,.pdf,1135686,2025-08-25T15:58:41.017375,2025-08-24T13:23:02.081928,09b42880fbf7707c1fb19ccf41aa284609f569788f746647f6a888582c6e1b09,data/source_materials/2019/2019-Situacion-Economico-Financiero-Carmen-de-Areco.pdf,general,general,normal,,https://carmendeareco.gob.ar/transparencia/2019-Situacion-Economico-Financiero-Carmen-de-Areco.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/2019-Situacion-Economico-Financiero-Carmen-de-Areco.pdf
Informe Económico 2019 _ Carmen de Areco - Municipio2.pdf,2019,.pdf,3935334,2025-08-25T15:58:41.017699,2025-08-24T13:23:02.095843,bf889813cb94ea931df8fad5f72b53184c208833b4117214c8fd1ab82187deb9,data/source_materials/2019/Informe Económico 2019 _ Carmen de Areco - Municipio2.pdf,general,general,normal,,https://carmendeareco.gob.ar/transparencia/Informe Económico 2019 _ Carmen de Areco - Municipio2.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/Informe Económico 2019 _ Carmen de Areco - Municipio2.pdf
Informe Económico 2019 _ Carmen de Areco - Municipio.pdf,2019,.pdf,4278204,2025-08-25T15:58:41.017974,2025-08-24T13:23:02.089005,1f1217a6535de9240fb849d744b87eee0a11c149c6180c4e34131b1f3e9890ac,data/source_materials/2019/Informe Económico 2019 _ Carmen de Areco - Municipio.pdf,general,general,normal,,https://carmendeareco.gob.ar/transparencia/Informe Económico 2019 _ Carmen de Areco - Municipio.pdf,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/Informe Económico 2019 _ Carmen de Areco - Municipio.pdf
.DS_Store,2020,,6148,2025-08-25T15:58:41.030328,2025-08-24T13:23:02.096032,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,data/source_materials/2020/.DS_Store,general,general,normal,,https://carmendeareco.gob.ar/transparencia/.DS_Store,https://web.archive.org/web/*/carmendeareco.gob.ar/transparencia/.DS_Store
