Column_0,Column_1,Column_2,Column_3,year
Teachers,180,175,2.9%,2019
Schools,25,25,0.0%,2019
Indicator,2019,2018,Variation,2019
Students,"2,400","2,350",2.1%,2019
Education Budget %,12.3%,12.1%,0.2%,2019
Indicator,2020,2019,Variation,2020
Schools,25,25,0.0%,2020
Teachers,180,175,2.9%,2020
Students,"2,400","2,350",2.1%,2020
Education Budget %,12.3%,12.1%,0.2%,2020
Indicator,2021,2020,Variation,2021
Teachers,180,175,2.9%,2021
Students,"2,400","2,350",2.1%,2021
Education Budget %,12.3%,12.1%,0.2%,2021
Schools,25,25,0.0%,2021
Education Budget %,12.3%,12.1%,0.2%,2022
Students,"2,400","2,350",2.1%,2022
Teachers,180,175,2.9%,2022
Indicator,2022,2021,Variation,2022
Schools,25,25,0.0%,2022
Indicator,2023,2022,Variation,2023
Education Budget %,12.3%,12.1%,0.2%,2023
Students,"2,400","2,350",2.1%,2023
Teachers,180,175,2.9%,2023
Schools,25,25,0.0%,2023
Indicator,2024,2023,Variation,2024
Schools,25,25,0.0%,2024
Teachers,180,175,2.9%,2024
Students,"2,400","2,350",2.1%,2024
Education Budget %,12.3%,12.1%,0.2%,2024
Education Budget %,12.3%,12.1%,0.2%,2025
Students,"2,400","2,350",2.1%,2025
Teachers,180,175,2.9%,2025
Schools,25,25,0.0%,2025
Indicator,2025,2024,Variation,2025
