Estado de Situacion Patrimonial,Saldo
100000000 ACTIVO,200.062.157,87
110000000 ACTIVO CORRIENTE,72.871.274,53
120000000 ACTIVO NO CORRIENTE,127.190.883,34
200000000 PASIVO,-7.154.118,35
210000000 PASIVO CORRIENTE,-5.669.298,76
220000000 PASIVO NO CORRIENTE,-1.484.819,59
300000000 PATRIMONΙΟ,-192.908.039,52
310000000 PATRIMONIO PUBLICO,-192.908.039,52
311000000 Capital fiscal,-16.311.591,84
312000000 Resultados de la cuenta corriente,-176.596.447,68
312100000 Resultados de ejercicios anteriores,-187.288.018,40
312200000 Resultado del ejercicio,-14.721.351,66
312300000 Resultados afectados a construcción de bienes de dominio público,25.412.922,38
