"year","program","budgeted","executed","paid","execution_rate","category"
"2019","Planificacion y desarrollo de politicas sociales",17185446.15,17143446.15,16736420.07,99.76,"Social Policies"
"2019","Desarrollo Productivo en el Ambito Local",1739912.03,1739912.03,1701912.03,100.00,"Economic Development"
"2019","Desarrollo de Políticas Sociales",10930343.69,10930343.69,10745925.77,100.00,"Social Services"
"2019","Desarrollo de Políticas de Educación",10265427.08,10265427.08,10265427.08,100.00,"Education"
"2019","Fondo Educativo",25464554.77,25358513.52,25358513.52,99.58,"Education"
"2019","Mantenimiento y ampliación de la red cloacal",2635695.35,2635695.35,2635695.35,100.00,"Infrastructure"
"2019","Mantenimiento y ampliación de la Red de agua pot",303047.28,303047.28,303047.28,100.00,"Infrastructure"
"2019","Desarrollo de Políticas Culturales",10223678.46,10223678.46,10062466.11,100.00,"Culture"
"2019","Desarrollo de Políticas Deportivas",4158320.27,4158320.27,4136430.27,100.00,"Sports"
"2019","Desarrollo de Politicas de Turismo",1098951.45,1098951.45,1010543.45,100.00,"Tourism"
"2019","Servicios Urbanos",61379244.23,61327344.23,61327344.23,99.92,"Urban Services"
"2019","Obras Infraestructura y Vivienda",10397281.49,9846526.99,9846526.99,94.70,"Infrastructure"
"2019","Obras Infraestructuras y Viviendas II",12944070.37,12944070.37,12944070.37,100.00,"Infrastructure"
"2019","Mantenimiento y reparacion de caminos",6344786.29,6344786.29,6344786.29,100.00,"Infrastructure"
"2019","Fondo de Pavimentacion Urbana Pcia. de Bs As",1664279.43,1664279.43,1664279.43,100.00,"Infrastructure"
"2019","H.C.D. - Actividades Centrales",5921324.78,5921324.78,5881132.78,100.00,"Legislative"
"2020","Total Ejecutado",230100000.00,230100000.00,230100000.00,100.00,"Total"
"2021","Total Ejecutado",265000000.00,265000000.00,265000000.00,100.00,"Total"
"2022","Total Ejecutado",1493000000.00,1493000000.00,1493000000.00,100.00,"Total"
"2023","Total Ejecutado",1872000000.00,1872000000.00,1872000000.00,100.00,"Total"
"2024","Total Ejecutado",6853000000.00,6853000000.00,6853000000.00,100.00,"Total"
"2025","Total Ejecutado",1986000000.00,1986000000.00,1986000000.00,100.00,"Total"
