tender_number,object,expedient,opening_date,budget_amount,document_fee,source_file,status,contract_type,year
Licitación Nº7/2023,Reparación de edificios escolares,EXP-2023-0007,2023-11-15,20000000.0,300000.0,https://carmendeareco.gob.ar/wp-content/uploads/2023/11/LICITACION-PUBLICA-N°7.pdf,completed,public_bid,2023
Licitación Nº8/2023,Mantenimiento de red eléctrica,EXP-2023-0008,2023-10-20,15000000.0,250000.0,https://carmendeareco.gob.ar/wp-content/uploads/2023/10/LICITACION-PUBLICA-N°8.pdf,completed,public_bid,2023
Licitación Nº9/2023,Servicios de limpieza municipal,EXP-2023-0009,2023-10-05,8000000.0,150000.0,https://carmendeareco.gob.ar/wp-content/uploads/2023/10/LICITACION-PUBLICA-N°9.pdf,completed,public_bid,2023
Licitación Nº10/2023,Construcción de centro de salud,EXP-2023-0010,2023-10-10,35000000.0,500000.0,https://carmendeareco.gob.ar/wp-content/uploads/2023/10/LICITACION-PUBLICA-N°10.pdf,completed,public_bid,2023
Licitación Nº11/2023,Adquisición de vehículos para el municipio,EXP-2023-0011,2023-10-25,25000000.0,400000.0,https://carmendeareco.gob.ar/wp-content/uploads/2023/10/LICITACION-PUBLICA-N°11.pdf,completed,public_bid,2023
,,,,1.0,,,,,2024
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2022
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2024
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2024
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,159.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,202.0,,,,,2025
,,,,1.0,,,,,2024
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2024
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2024
,,,,1.0,,,,,2023
,,,,1.0,,,,,2024
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2022
,,,,1.0,,,,,2022
,,,,1.0,,,,,2022
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,159.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
,,,,1.0,,,,,2023
