Tender Number,Object,Expediente,Opening Date,Budget Amount,Pliego Value,Source File Link
7.0,Water system reinforcement (Gouin & Carmen de Areco),4021-01330-0-2023,20-11-2023,50000000.0,50000.0,https://carmendeareco.gob.ar/wp-content/uploads/2023/11/LICITACION-PUBLICA-N%C2%B07.pdf
8.0,Compactor (Waste management),4021-01331-0-2023,15-11-2023,25000000.0,25000.0,https://carmendeareco.gob.ar/wp-content/uploads/2023/10/LICITACION-PUBLICA-N%C2%B08.pdf
9.0,Utility pickup truck (Municipal services),4021-01333-0-2023,16-11-2023,30000000.0,30000.0,https://carmendeareco.gob.ar/wp-content/uploads/2023/10/LICITACION-PUBLICA-N%C2%B09.pdf
10.0,Adquisicion de Combi Mini Bus,4021-01332-0-2023,17-11-2023,52650000.0,52650.0,https://carmendeareco.gob.ar/wp-content/uploads/2023/10/LICITACION-PUBLICA-N%C2%B010.pdf
11.0,Nephrology equipment (Health infrastructure),4021-01334-0-2023,18-11-2023,40000000.0,40000.0,https://carmendeareco.gob.ar/wp-content/uploads/2023/10/LICITACION-PUBLICA-N%C2%B011.pdf
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,159.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,202.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,159.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
,,,,1.0,,
