id,title,url,year,category,source,type,description,official_url,size_mb,last_modified
pdf-14,Estado de Ejecucion de Recursos Marzo,http://carmendeareco.gob.ar/wp-content/uploads/2023/Estado-de-Ejecucion-de-Recursos-Marzo.pdf,2023,Ejecución_de_Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/Estado-de-Ejecucion-de-Recursos-Marzo.pdf,0.44,
pdf-19,ESTADO DE EJECUCION DE RECURSOS POR PROCEDENCIA 2023 4°TRI,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-2023-4°TRI.pdf,2023,Ejecución_de_Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-2023-4°TRI.pdf,0.08,
pdf-30,Estado de Ejecucion de Recursos por Procedencia Marzo,http://carmendeareco.gob.ar/wp-content/uploads/2023/Estado-de-Ejecucion-de-Recursos-por-Procedencia-Marzo.pdf,2023,Ejecución_de_Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/Estado-de-Ejecucion-de-Recursos-por-Procedencia-Marzo.pdf,0.34,
pdf-34,Estado de Ejecucion de Recursos 3er Trimestres,http://carmendeareco.gob.ar/wp-content/uploads/2023/Estado-de-Ejecucion-de-Recursos-3er-Trimestres.pdf,2023,Ejecución_de_Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/Estado-de-Ejecucion-de-Recursos-3er-Trimestres.pdf,0.45,
pdf-36,EJECUCION PRESUPUESTARIA DE RECURSOS,http://carmendeareco.gob.ar/wp-content/uploads/2023/EJECUCION-PRESUPUESTARIA-DE-RECURSOS.pdf,2023,Ejecución_de_Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/EJECUCION-PRESUPUESTARIA-DE-RECURSOS.pdf,0.45,
pdf-40,Estado de Ejecucion de Recursos por Caracter Economico Marzo,http://carmendeareco.gob.ar/wp-content/uploads/2023/Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Marzo.pdf,2023,Ejecución_de_Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Marzo.pdf,0.37,
pdf-41,ESTADO DE EJECUCION DE RECURSOS,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-RECURSOS.pdf,2023,Ejecución_de_Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-RECURSOS.pdf,0.14,
pdf-42,ESTADO DE EJECUCION DE RECURSOS POR CARACTER ECONOMICO 2023 4°TRI,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-2023-4°TRI.pdf,2023,Ejecución_de_Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-CARACTER-ECONOMICO-2023-4°TRI.pdf,0.1,
pdf-52,ESTADO DE EJECUCION DE RECURSOS 2023 4°TRI,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4°TRI.pdf,2023,Ejecución_de_Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-2023-4°TRI.pdf,0.14,
pdf-60,ESTADO DE EJECUCION DE RECURSOS 3°TRIMESTRE,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-3°TRIMESTRE.pdf,2023,Ejecución_de_Recursos,Municipal Records,PDF,Documento financiero del municipio de Carmen de Areco - Ejecución de Recursos,http://carmendeareco.gob.ar/wp-content/uploads/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-3°TRIMESTRE.pdf,0.13,
